Financial Year,Coin,Date,Description,Type,Qty Change,Value (ZAR),Unit Cost (ZAR) / Unit Cost Value,Lot Reference,Pool
FY2021,XBT,2021-01-29 13:40:50,Trading fee,out_fee_sell,-0.000006,3.38,3.38,,out_fee_sell
FY2021,XBT,2021-02-02 11:07:28,Trading fee,out_fee_sell,-0.000004,2.17,2.17,,out_fee_sell
FY2021,XBT,2021-02-02 11:19:43,Trading fee,out_fee_sell,-0.000009,4.94,4.94,,out_fee_sell
FY2021,XBT,2021-02-02 11:28:10,Trading fee,out_fee_sell,-0.000009,4.92,4.92,,out_fee_sell
FY2021,ETH,2021-02-06 08:13:00,Trading fee,out_fee_sell,-0.0001,2.53,2.53,,out_fee_sell
FY2021,ETH,2021-02-06 08:19:23,Trading fee,out_fee_sell,-0.0001,2.54,2.54,,out_fee_sell
FY2021,XBT,2021-02-09 08:32:20,Trading fee,out_fee_buy,-0.00001,7.21,7.21,,out_fee_buy
FY2021,XBT,2021-02-09 08:34:57,Trading fee,out_fee_sell,-0.000006,4.31,4.31,,out_fee_sell
FY2021,XBT,2021-02-09 08:34:57,Trading fee,out_fee_sell,-0.000001,0.71,0.71,,out_fee_sell
FY2021,XBT,2021-02-09 08:34:57,Trading fee,out_fee_sell,-0.000002,1.43,1.43,,out_fee_sell
FY2021,XBT,2021-02-09 08:51:29,Trading fee,out_fee_buy,-0.00001,7.28,7.28,,out_fee_buy
FY2021,XBT,2021-02-09 08:52:51,Trading fee,out_fee_sell,-0.000009,6.56,6.56,,out_fee_sell
FY2021,XBT,2021-02-09 08:57:35,Trading fee,out_fee_buy,-0.000005,3.67,3.67,,out_fee_buy
FY2021,XRP,2021-02-18 09:05:19,Trading fee,out_fee_buy,-0.119,0.99,0.99,,out_fee_buy
FY2021,XBT,2021-02-20 06:03:31,Trading fee,out_fee_sell,-0.000001,0.83,0.83,,out_fee_sell
FY2021,ETH,2021-02-22 12:12:04,Trading fee,out_fee_buy,-0.000036,0.99,0.99,,out_fee_buy
FY2021,LTC,2021-02-22 12:18:23,Trading fee,out_fee_buy,-0.000179,0.58,0.58,,out_fee_buy
FY2021,LTC,2021-02-22 12:18:23,Trading fee,out_fee_buy,-0.000125,0.4,0.4,,out_fee_buy
FY2021,LTC,2021-02-22 16:18:23,Trading fee,out_fee_buy,-0.000344,0.97,0.97,,out_fee_buy
FY2021,XBT,2021-02-22 16:19:45,Trading fee,out_fee_buy,-0.000001,0.75,0.75,,out_fee_buy
FY2021,XBT,2021-02-22 16:22:06,Trading fee,out_fee_buy,-0.000001,0.76,0.76,,out_fee_buy
FY2021,ETH,2021-02-23 07:33:49,Trading fee,out_fee_buy,-0.000082,1.97,1.97,,out_fee_buy
FY2021,XBT,2021-02-28 21:07:32,Trading fee,out_fee_buy,-0.000001,0.68,0.68,,out_fee_buy
FY2022,XBT,2021-03-03 12:26:26,Trading fee,out_fee_sell,-0.000001,0.78,0.78,,out_fee_sell
FY2022,ETH,2021-03-06 20:18:33,Trading fee,out_fee_sell,-0.00005,1.26,1.26,,out_fee_sell
FY2022,ETH,2021-03-06 20:19:50,Trading fee,out_fee_sell,-0.00005,1.26,1.26,,out_fee_sell
FY2022,ETH,2021-03-06 23:02:25,Trading fee,out_fee_sell,-0.000047,1.22,1.22,,out_fee_sell
FY2022,ETH,2021-03-06 23:02:25,Trading fee,out_fee_sell,-0.000002,0.05,0.05,,out_fee_sell
FY2022,ETH,2021-03-06 23:18:28,Trading fee,out_fee_sell,-0.0001,2.56,2.56,,out_fee_sell
FY2022,XBT,2021-03-08 23:10:57,Trading fee,out_fee_sell,-0.000001,0.81,0.81,,out_fee_sell
FY2022,XBT,2021-03-09 07:53:20,Trading fee,out_fee_sell,-0.000003,2.54,2.54,,out_fee_sell
FY2022,ETH,2021-03-09 07:55:53,Trading fee,out_fee_sell,-0.000103,2.96,2.96,,out_fee_sell
FY2022,LTC,2021-03-11 12:02:29,Trading fee,out_fee_buy,-0.0005,1.49,1.49,,out_fee_buy
FY2022,XBT,2021-03-11 23:09:05,Trading fee,out_fee_sell,-0.000002,1.76,1.76,,out_fee_sell
FY2022,XBT,2021-03-11 23:16:25,Trading fee,out_fee_sell,-0.000003,2.63,2.63,,out_fee_sell
FY2022,XBT,2021-03-13 22:57:42,Trading fee,out_fee_sell,-0.000003,2.76,2.76,,out_fee_sell
FY2022,XBT,2021-03-17 22:23:44,Trading fee,out_fee_sell,-0.000005,4.39,4.39,,out_fee_sell
FY2022,XBT,2021-03-18 19:40:35,Trading fee,out_fee_sell,-0.000005,4.43,4.43,,out_fee_sell
FY2022,XBT,2021-03-19 13:50:38,Trading fee,out_fee_sell,-0.000003,2.63,2.63,,out_fee_sell
FY2022,XBT,2021-03-19 13:50:38,Trading fee,out_fee_sell,-0.000001,0.87,0.87,,out_fee_sell
FY2022,XRP,2021-03-20 18:22:24,Trading fee,out_fee_sell,-0.002,0.01,0.01,,out_fee_sell
FY2022,XRP,2021-03-20 18:24:26,Trading fee,out_fee_sell,-0.3,2.23,2.23,,out_fee_sell
FY2022,LTC,2021-03-20 22:39:29,Trading fee,out_fee_buy,-0.0005,1.49,1.49,,out_fee_buy
FY2022,XRP,2021-03-20 22:41:18,Trading fee,out_fee_sell,-0.05,0.38,0.38,,out_fee_sell
FY2022,LTC,2021-03-21 12:09:35,Trading fee,out_fee_buy,-0.000515,1.5,1.5,,out_fee_buy
FY2022,ETH,2021-03-23 07:33:00,Trading fee,out_fee_buy,-0.000039,0.98,0.98,,out_fee_buy
FY2022,LTC,2021-03-24 10:12:47,Trading fee,out_fee_sell,-0.0005,1.47,1.47,,out_fee_sell
FY2022,XBT,2021-03-24 22:18:55,Trading fee,out_fee_buy,-0.00001,8.3,8.3,,out_fee_buy
FY2022,XBT,2021-03-24 22:21:33,Trading fee,out_fee_sell,-0.000001,0.83,0.83,,out_fee_sell
FY2022,XBT,2021-03-24 22:21:33,Trading fee,out_fee_sell,-0.000005,4.16,4.16,,out_fee_sell
FY2022,XBT,2021-03-24 22:21:34,Trading fee,out_fee_sell,-0.000002,1.66,1.66,,out_fee_sell
FY2022,XRP,2021-03-24 23:08:22,Trading fee,out_fee_sell,-0.3,2.42,2.42,,out_fee_sell
FY2022,XRP,2021-03-25 07:58:03,Trading fee,out_fee_sell,-0.3,2.28,2.28,,out_fee_sell
FY2022,XRP,2021-03-25 11:09:52,Trading fee,out_fee_sell,-0.3,2.34,2.34,,out_fee_sell
FY2022,XBT,2021-03-26 05:42:38,Sent Bitcoin to paulspeirs@gmail.com: Transfer from Luno Test 1,out_other,-0.00012422,100.12,100.12,,out_other
FY2022,LTC,2021-03-29 07:10:11,Trading fee,out_fee_sell,-0.001,2.89,2.89,,out_fee_sell
FY2022,XRP,2021-04-05 07:03:38,Trading fee,out_fee_sell,-0.3,3.22,3.22,,out_fee_sell
FY2022,LTC,2021-04-07 13:29:24,Trading fee,out_fee_buy,-0.001,3.29,3.29,,out_fee_buy
FY2022,XBT,2021-04-13 11:04:02,"Bought 0.00106 BTC/ZAR @ 942,962",in_buy_for_other,0.00106,999.53,942952.830188679245283,in_buy_for_other_a75600f1c1027d,in_buy_for_other
FY2022,XBT,2021-04-13 11:04:02,Trading fee,out_fee_buy_for_other,-0.000001,0.94,0.94,,out_fee_buy_for_other
FY2022,LTC,2021-04-13 11:04:54,Trading fee,out_fee_buy,-0.000253,0.99,0.99,,out_fee_buy
FY2022,XRP,2021-04-13 11:05:51,Trading fee,out_fee_buy,-0.041,0.99,0.99,,out_fee_buy
FY2022,ETH,2021-04-13 11:08:28,Trading fee,out_fee_buy,-0.00003,0.99,0.99,,out_fee_buy
FY2022,XRP,2021-04-13 13:59:02,Trading fee,out_fee_buy,-0.038,0.98,0.98,,out_fee_buy
FY2022,XRP,2021-04-13 14:00:31,Trading fee,out_fee_sell,-0.038,0.98,0.98,,out_fee_sell
FY2022,XRP,2021-04-14 16:18:28,Trading fee,out_fee_buy,-0.043,1.01,1.01,,out_fee_buy
FY2022,XBT,2021-04-16 17:14:14,First bitcoin transaction to coinbase,out_other,-0.01,9157.52,9157.52,,out_other
FY2022,XBT,2021-04-16 17:14:14,Bitcoin send fee,out_other,-0.00020901,191.4,191.4,,out_other
FY2022,XRP,2021-04-23 07:32:25,Trading fee,out_fee_buy,-0.133,1.98,1.98,,out_fee_buy
FY2022,XRP,2021-04-26 05:42:21,Trading fee,out_fee_sell,-0.081,1.35,1.35,,out_fee_sell
FY2022,XRP,2021-04-26 05:42:21,Trading fee,out_fee_sell,-0.119,1.98,1.98,,out_fee_sell
FY2022,ETH,2021-04-26 06:22:09,Trading fee,out_fee_sell,-0.0001,3.66,3.66,,out_fee_sell
FY2022,XRP,2021-04-26 20:47:25,Trading fee,out_fee_sell,-0.1,1.97,1.97,,out_fee_sell
FY2022,XRP,2021-04-27 05:07:54,Trading fee,out_fee_sell,-0.082,1.72,1.72,,out_fee_sell
FY2022,ETH,2021-04-28 03:59:12,Trading fee,out_fee_sell,-0.0001,4,4,,out_fee_sell
FY2022,LTC,2021-05-02 01:53:54,Trading fee,out_fee_sell,-0.0005,2.04,2.04,,out_fee_sell
FY2022,LTC,2021-05-05 04:33:12,Trading fee,out_fee_sell,-0.0005,2.49,2.49,,out_fee_sell
FY2022,LTC,2021-05-06 08:12:28,"Bought 0.0377 LTC/ZAR @ 4,941",in_buy_for_other,0.0377,186.27,4940.8488063660477454,in_buy_for_other_cf70954b57a788,in_buy_for_other
FY2022,LTC,2021-05-06 08:12:31,"Bought 0.1623 LTC/ZAR @ 4,941",in_buy_for_other,0.1623,801.92,4940.9735058533579791,in_buy_for_other_ee57c25be45864,in_buy_for_other
FY2022,XBT,2021-05-08 22:04:05,Trading fee,out_fee_sell,-0.00000142,1.22,1.22,,out_fee_sell
FY2022,XRP,2021-05-09 06:37:53,Trading fee,out_fee_sell,-0.1,2.18,2.18,,out_fee_sell
FY2022,ETH,2021-05-10 08:03:22,Trading fee,out_fee_buy,-0.00002,1.19,1.19,,out_fee_buy
FY2022,ETH,2021-05-10 11:11:25,Trading fee,out_fee_buy,-0.00000449,0.27,0.27,,out_fee_buy
