Financial Year,Trans Ref,Date,Description,Type,Lot Reference,Qty Change,Balance Units,Total Cost (ZAR),Balance Value (ZAR),Fee (ZAR),Proceeds (ZAR),Profit (ZAR),Unit Cost (ZAR)
FY2020,385e07fc,2021-02-01 22:44:48,Bought BCH 0.01531969 for ZAR 100.00,in_buy,in_buy_5df99822387e19,0.01531969,0.01531969,100,100.000000000000000000295918,0,0,0,6527.5472284360845422
FY2021,4ce655d0,2021-05-17 07:56:50,Bought 0.20 BCH/BTC @ 0.02406,in_buy,in_buy_939dee26e82c79,0.2,0.21531969,3023.22836,3254.802966372042,0,0,0,15116.1418
FY2021,4ce655d0,2021-05-17 07:56:50,Trading fee,out_other,in_buy_5df99822387e19,-0.0002,0.21511969,0,1404.203936241529691531855918,0,3.02,1.71449055431278309156,6527.5472284360845422
FY2021,219e7348,2021-05-17 08:26:13,Bought 0.05 BCH/BTC @ 0.024356,in_buy,in_buy_1932a14d16f416,0.05,0.26511969,808.8879,4289.04218585502,0,0,0,16177.758
FY2021,219e7348,2021-05-17 08:26:13,Trading fee,out_other,in_buy_5df99822387e19,-0.00005,0.26506969,0,1730.254920301912114414745918,0,0.8,0.47362263857819577289,6527.5472284360845422
FY2021,79b0988e,2021-05-17 08:26:13,Bought 0.09 BCH/BTC @ 0.024357,in_buy,in_buy_b6ea8aec8e6be6,0.09,0.35506969,1455.99823,5744.231557407207777773832559,0,0,0,16177.7581111111111111
FY2021,79b0988e,2021-05-17 08:26:13,Trading fee,out_other,in_buy_5df99822387e19,-0.00009,0.35497969,0,2317.146691610600475603947918,0,1.45,0.862520749440752391202,6527.5472284360845422
FY2021,637c920c,2021-05-17 08:26:14,Bought 0.05 BCH/BTC @ 0.024366,in_buy,in_buy_daa69788f8f06d,0.05,0.40497969,808.8879,6551.66341973502,0,0,0,16177.758
FY2021,9384809e,2021-05-17 08:26:15,Bought 0.01 BCH/BTC @ 0.024366,in_buy,in_buy_59093b7172fbda,0.01,0.41497969,161.77758,6713.44099973502,0,0,0,16177.758
FY2021,303d5014,2021-05-17 17:32:46,Bought 0.20 BCH/BTC @ 0.023961,in_buy,in_buy_37baa21bb78491,0.2,0.61497969,3131.14876,9627.964468843422,0,0,0,15655.7438
FY2021,11345ce7,2021-05-19 06:58:11,Bought 0.49 BCH/BTC @ 0.023858,in_buy,in_buy_03975e097920a4,0.49,1.10497969,6515.85432,14693.646299181144489836509458,0,0,0,13297.6618775510204082
FY2021,b6e23115,2021-05-19 06:58:11,Bought 0.01 BCH/BTC @ 0.023858,in_buy,in_buy_48622a7c2d202e,0.01,1.11497969,132.97661,14826.62193950509,0,0,0,13297.661
FY2021,5f22e3be,2021-05-19 13:30:51,Bought 0.04 BCH/BTC @ 0.0225,in_buy,in_buy_b0b1c182cca8ec,0.04,1.15497969,497.2,14356.3975467,0,0,0,12430
FY2024,a01da29b,2024-12-04 22:27:22,"Sold 0.055 BCH/ZAR @ 10,152",out_sell,in_buy_5df99822387e19,-0.01497969,1.14,0,7441.403840417136378108,0,152.07381288,54.293178937668268744052082,6527.5472284360845422
FY2024,a01da29b,2024-12-04 22:27:22,"Sold 0.055 BCH/ZAR @ 10,152",out_sell,in_buy_939dee26e82c79,-0.04002031,1.09997969,0,16627.448971160042,0,406.28618712,-198.666493719958,15116.1418
FY2024,a01da29b,2024-12-04 22:27:22,Trading fee,out_other,in_buy_939dee26e82c79,-0.000275,1.09970469,0,16623.292032165042,0,2.9,-1.256938995,15116.1418
FY2024,20b4684b,2024-12-04 22:46:30,"Sold 1.0942 BCH/ZAR @ 10,152",out_sell,in_buy_939dee26e82c79,-0.15970469,0.94,0,14209.173292,0,1621.320786852403908405,-792.797953312638091595,15116.1418
FY2024,20b4684b,2024-12-04 22:46:30,"Sold 1.0942 BCH/ZAR @ 10,152",out_sell,in_buy_1932a14d16f416,-0.05,0.89,0,14398.20462,0,507.599616157923176247,-301.288283842076823753,16177.758
FY2024,20b4684b,2024-12-04 22:46:30,"Sold 1.0942 BCH/ZAR @ 10,152",out_sell,in_buy_b6ea8aec8e6be6,-0.09,0.8,0,12942.20648888888888888,0,913.679309084262161577,-542.318920915737838422,16177.7581111111111111
FY2024,20b4684b,2024-12-04 22:46:30,"Sold 1.0942 BCH/ZAR @ 10,152",out_sell,in_buy_daa69788f8f06d,-0.05,0.75,0,12133.3185,0,507.599616157923176247,-301.288283842076823753,16177.758
FY2024,20b4684b,2024-12-04 22:46:30,"Sold 1.0942 BCH/ZAR @ 10,152",out_sell,in_buy_59093b7172fbda,-0.01,0.74,0,11971.54092,0,101.519923231584190917,-60.257656768415809083,16177.758
FY2024,20b4684b,2024-12-04 22:46:30,"Sold 1.0942 BCH/ZAR @ 10,152",out_sell,in_buy_37baa21bb78491,-0.2,0.54,0,8454.101652,0,2030.39846463169492665,-1100.75029536830507335,15655.7438
FY2024,20b4684b,2024-12-04 22:46:30,"Sold 1.0942 BCH/ZAR @ 10,152",out_sell,in_buy_03975e097920a4,-0.49,0.05,0,664.88309387755102041,0,4974.476238347650904046,-1541.378081652349095972,13297.6618775510204082
FY2024,20b4684b,2024-12-04 22:46:30,"Sold 1.0942 BCH/ZAR @ 10,152",out_sell,in_buy_48622a7c2d202e,-0.01,0.04,0,531.90644,0,101.519923231584190917,-31.456686768415809083,13297.661
FY2024,20b4684b,2024-12-04 22:46:30,"Sold 1.0942 BCH/ZAR @ 10,152",out_sell,in_buy_b0b1c182cca8ec,-0.03449531,0.00550469,0,68.4232967,0,350.196122304971143332,-78.580580995028856668,12430
FY2024,20b4684b,2024-12-04 22:46:30,Trading fee,out_other,in_buy_b0b1c182cca8ec,-0.0032826,0.00222209,0,27.6205787,0,34.28,-6.522718,12430
